"des","pitcher_name","pitch_type","start_speed","end_speed"
"Called Strike","Mariano Rivera","FC","92.7","86.7"
"Ball","Mariano Rivera","FC","92.8","86.3"
"Ball","Mariano Rivera","FC","93.3","87.5"
"In play, out(s)","Mariano Rivera","FC","93.6","87.9"
"Ball","Phil Hughes","FF","90.2","83.6"
"Called Strike","Phil Hughes","FF","91.5","83.9"
"Swinging Strike","Phil Hughes","FF","91.0","83.6"
"Foul","Phil Hughes","FF","92.7","84.8"
"Ball","Phil Hughes","FF","92.8","85.5"
"Ball","Phil Hughes","FC","89.6","83.9"
"Called Strike","Phil Hughes","FF","92.4","86.3"
"In play, no out","Phil Hughes","FC","89.1","83.6"
"Foul","Phil Hughes","FF","92.2","85.3"
"In play, run(s)","Phil Hughes","FF","92.7","84.9"
"Ball","Phil Hughes","FF","91.9","85.4"
"Ball","Phil Hughes","FC","88.4","82.6"
"Foul","Phil Hughes","FC","88.1","81.8"
"Called Strike","Phil Hughes","FC","86.9","81.0"
"Foul","Phil Hughes","FF","90.1","84.2"
"Ball","Phil Hughes","FF","91.6","84.4"
"Swinging Strike","Phil Hughes","FF","91.4","83.5"
"In play, out(s)","Phil Hughes","FF","89.5","84.0"
"Foul","Phil Hughes","FF","90.1","83.7"
"Swinging Strike","Phil Hughes","FC","87.6","81.4"
"Swinging Strike","Phil Hughes","FF","91.3","84.1"
"Swinging Strike","Phil Hughes","FF","91.1","84.3"
"In play, out(s)","Phil Hughes","FF","90.5","82.9"
"Swinging Strike","Phil Hughes","FF","91.4","83.9"
"Ball","Phil Hughes","FF","90.6","82.4"
"Ball","Phil Hughes","FF","89.7","82.4"
"In play, out(s)","Phil Hughes","FF","91.6","84.6"
"In play, out(s)","Mariano Rivera","FC","90.6","84.0"
"Ball","Mariano Rivera","FC","92.1","85.0"
"Swinging Strike","Mariano Rivera","FC","91.6","84.9"
"In play, out(s)","Mariano Rivera","FC","92.0","85.1"
"Called Strike","Mariano Rivera","FC","91.0","84.1"
"Foul Tip","Mariano Rivera","FC","91.5","84.7"
