fill,x,y,showSelected,PANEL,group
#00BFC4,0.616295986470021,0.590041580663496,FC.Phil Hughes,1,3
#00BFC4,0.590654494535271,0.734526907774687,FF.Phil Hughes,1,4
#00BFC4,0.419711214970267,0.498653863412007,FC.Phil Hughes,1,3
#00BFC4,0.753414319227482,0.513012653683927,FF.Phil Hughes,1,4
#00BFC4,0.525732419211115,0.549657483023722,FC.Phil Hughes,1,3
#00BFC4,0.555374711305898,0.511217804899937,FF.Phil Hughes,1,4
#00BFC4,0.440806343086799,0.808414849382273,FF.Phil Hughes,1,4
#00BFC4,0.611204058993617,0.619806156331329,FF.Phil Hughes,1,4
#00BFC4,0.38061248613359,0.667668790571061,FC.Phil Hughes,1,3
#00BFC4,0.609749222571787,0.60170809775943,FF.Phil Hughes,1,4
#00BFC4,0.40207132335558,0.397544048580574,FF.Phil Hughes,1,4
#00BFC4,0.58792667624434,0.606494361183403,FC.Phil Hughes,1,3
#00BFC4,0.41498299659932,0.576430644051572,FC.Phil Hughes,1,3
#00BFC4,0.511184054992817,0.629976966107272,FF.Phil Hughes,1,4
#00BFC4,0.551373911145866,0.654506566155135,FC.Phil Hughes,1,3
#00BFC4,0.509911073123716,0.442415268180322,FF.Phil Hughes,1,4
#00BFC4,0.690310789430613,0.291647970325167,FC.Phil Hughes,1,3
#00BFC4,0.363881867282547,0.613374614855365,FF.Phil Hughes,1,4
#00BFC4,0.596291985669861,0.632370097819259,FC.Phil Hughes,1,3
#00BFC4,0.578470239502446,0.688608693050944,FF.Phil Hughes,1,4
#00BFC4,0.57646983942243,0.529016722007837,FC.Phil Hughes,1,3
#00BFC4,0.719043808761752,0.722860390678752,FF.Phil Hughes,1,4
#00BFC4,0.547191256433105,0.478162673128122,FC.Phil Hughes,1,3
#00BFC4,0.620842350288239,0.34100631188489,FC.Phil Hughes,1,3
#00BFC4,0.480996199239848,0.581964761135541,FC.Phil Hughes,1,3
#00BFC4,0.40061648693375,0.674698614975022,FC.Phil Hughes,1,3
#00BFC4,0.674853152448672,0.709548595530826,FC.Phil Hughes,1,3
#00BFC4,0.387341104584553,0.631472673427264,FC.Phil Hughes,1,3
#00BFC4,0.366609685573478,0.558781297675671,FF.Phil Hughes,1,4
#00BFC4,0.414255578388405,0.571046097699602,FF.Phil Hughes,1,4
#00BFC4,0.763416319627562,0.450641658440276,FF.Phil Hughes,1,4
#00BFC4,0.609021804360872,0.465897873104191,FC.Phil Hughes,1,3
#00BFC4,0.589745221771627,0.536794400071794,FF.Phil Hughes,1,4
#F8766D,0.528642092054775,0.501046995123994,FC.Mariano Rivera,1,1
#F8766D,0.313690010729419,0.403975590056538,FF.Mariano Rivera,1,2
#F8766D,0.268590081652694,0.520491190283885,FC.Mariano Rivera,1,1
#F8766D,0.509183654912801,0.553247180591702,FC.Mariano Rivera,1,1
#F8766D,0.563376311625962,0.6070926441114,FF.Mariano Rivera,1,2
#F8766D,0.288230373347397,0.509123814651949,FF.Mariano Rivera,1,2
#F8766D,0.361335903544345,0.359403511920787,FF.Mariano Rivera,1,2
#F8766D,0.382794740766335,0.31961769720901,FC.Mariano Rivera,1,1
#F8766D,0.548827947407663,0.384830536360645,FC.Mariano Rivera,1,1
#F8766D,0.55355616577861,0.421325794968441,FC.Mariano Rivera,1,1
#F8766D,0.123106439469712,0.617263453887343,FC.Mariano Rivera,1,1
#F8766D,0.561921475204132,0.581366478207544,FC.Mariano Rivera,1,1
#F8766D,0.266407827019949,0.370621316820724,FC.Mariano Rivera,1,1
#F8766D,0.31914564731128,0.497606868288013,FC.Mariano Rivera,1,1
#F8766D,0.419165651312081,0.473376409704149,FC.Mariano Rivera,1,1
#F8766D,0.577379112186074,0.39829190224057,FC.Mariano Rivera,1,1
#F8766D,0.447716816090491,0.764889766370517,FC.Mariano Rivera,1,1
#F8766D,0.571559766498754,0.504487121959975,FC.Mariano Rivera,1,1
#F8766D,0.477540962738002,0.492671034132041,FC.Mariano Rivera,1,1
#F8766D,0.292776737165615,0.412800263244488,FF.Mariano Rivera,1,2
#F8766D,0.725408718107258,0.358057375332795,FC.Mariano Rivera,1,1
#F8766D,0.123652003127898,0.397394477848575,FF.Mariano Rivera,1,2
#F8766D,0.710678499336231,0.504487121959975,FC.Mariano Rivera,1,1
#F8766D,0.617023404680936,0.358655658260791,FC.Mariano Rivera,1,1
#F8766D,0.624115732237357,0.419530946184451,FC.Mariano Rivera,1,1
#F8766D,0.501909472803652,0.505833258547967,FC.Mariano Rivera,1,1
#F8766D,0.691765625852443,0.416240390080469,FC.Mariano Rivera,1,1
#F8766D,0.672125334157741,0.533055131771815,FC.Mariano Rivera,1,1
#F8766D,0.561739620651403,0.474423404828143,FC.Mariano Rivera,1,1
#F8766D,0.617750822891851,0.43209488767238,FC.Mariano Rivera,1,1
#F8766D,0.505546563858226,0.612028478267372,FC.Mariano Rivera,1,1
#F8766D,0.157840659040899,0.600361961171438,FF.Mariano Rivera,1,2
#F8766D,0.515548564258306,0.545918214723743,FC.Mariano Rivera,1,1
#F8766D,0.426076124315772,0.414146399832481,FF.Mariano Rivera,1,2
#00BFC4,0.266589681572678,0.616964312423345,FF.Phil Hughes,1,4
#00BFC4,0.237311098583353,0.550554907415717,FF.Phil Hughes,1,4
#00BFC4,0.595928276564404,0.513012653683927,FC.Phil Hughes,1,3
#00BFC4,0.528278382949317,0.547114780579736,FF.Phil Hughes,1,4
#00BFC4,0.422620887813926,0.662882527147088,FF.Phil Hughes,1,4
#00BFC4,0.593746021931659,0.571943522091597,FF.Phil Hughes,1,4
#00BFC4,0.438805943006783,0.54277722935176,FC.Phil Hughes,1,3
#00BFC4,0.440442633981342,0.600062819707439,FF.Phil Hughes,1,4
#00BFC4,0.573196457473313,0.53933710251578,FC.Phil Hughes,1,3
#00BFC4,0.517730818891051,0.502841843907984,FF.Phil Hughes,1,4
#00BFC4,0.376975395079016,0.528867151275838,FF.Phil Hughes,1,4
