colour	x	y	group	clickSelects
#A58AFF	0.551457975986278	0.282330246687788	186	Afghanistan
#A58AFF	0.56861063464837	0.287131971189044	186	Afghanistan
#A58AFF	0.585763293310463	0.291909753573674	186	Afghanistan
#A58AFF	0.602915951972555	0.296642311960231	186	Afghanistan
#A58AFF	0.620068610634648	0.301353588465342	186	Afghanistan
#A58AFF	0.637221269296741	0.306036742484256	186	Afghanistan
#A58AFF	0.654373927958833	0.310683793311431	186	Afghanistan
#A58AFF	0.671526586620926	0.315294360913271	186	Afghanistan
#A58AFF	0.688679245283018	0.319859704517038	186	Afghanistan
#A58AFF	0.705831903945111	0.324402246104969	186	Afghanistan
#A58AFF	0.722984562607203	0.328897663526842	186	Afghanistan
#A58AFF	0.740137221269296	0.333307193355736	186	Afghanistan
#A58AFF	0.757289879931389	0.337582951358397	186	Afghanistan
#A58AFF	0.774442538593481	0.341725697602022	186	Afghanistan
#A58AFF	0.791595197255574	0.345765834774388	186	Afghanistan
#A58AFF	0.808747855917666	0.349797611207616	186	Afghanistan
#A58AFF	0.825900514579759	0.353930096544114	186	Afghanistan
#A58AFF	0.843053173241851	0.358334685936245	186	Afghanistan
#A58AFF	0.860205831903944	0.36310600774972	186	Afghanistan
#A58AFF	0.877358490566037	0.368298406788951	186	Afghanistan
#A58AFF	0.894511149228129	0.373912263087531	186	Afghanistan
#A58AFF	0.911663807890222	0.379885251135511	186	Afghanistan
#A58AFF	0.928816466552314	0.386092719912997	186	Afghanistan
#A58AFF	0.945969125214407	NA	186	Afghanistan
#53B400	0.0540308747855932	0.59913803439707	59	Antigua and Barbuda
#53B400	0.0711835334476857	NA	59	Antigua and Barbuda
#53B400	0.0883361921097783	NA	59	Antigua and Barbuda
#53B400	0.105488850771871	NA	59	Antigua and Barbuda
#53B400	0.122641509433963	NA	59	Antigua and Barbuda
#53B400	0.139794168096056	NA	59	Antigua and Barbuda
#53B400	0.156946826758149	NA	59	Antigua and Barbuda
#53B400	0.174099485420241	NA	59	Antigua and Barbuda
#53B400	0.191252144082334	NA	59	Antigua and Barbuda
#53B400	0.208404802744426	NA	59	Antigua and Barbuda
#53B400	0.225557461406519	0.669254233089731	59	Antigua and Barbuda
#53B400	0.242710120068611	NA	59	Antigua and Barbuda
#53B400	0.259862778730704	NA	59	Antigua and Barbuda
#53B400	0.277015437392797	NA	59	Antigua and Barbuda
#53B400	0.294168096054889	NA	59	Antigua and Barbuda
#53B400	0.311320754716982	NA	59	Antigua and Barbuda
#53B400	0.328473413379074	NA	59	Antigua and Barbuda
#53B400	0.345626072041167	NA	59	Antigua and Barbuda
#53B400	0.362778730703259	NA	59	Antigua and Barbuda
#53B400	0.379931389365352	NA	59	Antigua and Barbuda
#53B400	0.397084048027445	NA	59	Antigua and Barbuda
#53B400	0.414236706689537	NA	59	Antigua and Barbuda
#53B400	0.43138936535163	0.753306263793557	59	Antigua and Barbuda
#53B400	0.448542024013722	NA	59	Antigua and Barbuda
#53B400	0.465694682675815	NA	59	Antigua and Barbuda
#53B400	0.482847341337907	NA	59	Antigua and Barbuda
#53B400	0.5	NA	59	Antigua and Barbuda
#53B400	0.517152658662093	0.765151911019845	59	Antigua and Barbuda
#53B400	0.534305317324185	NA	59	Antigua and Barbuda
#53B400	0.551457975986278	NA	59	Antigua and Barbuda
#53B400	0.56861063464837	NA	59	Antigua and Barbuda
#53B400	0.585763293310463	NA	59	Antigua and Barbuda
#53B400	0.602915951972555	0.784442416416265	59	Antigua and Barbuda
#53B400	0.620068610634648	NA	59	Antigua and Barbuda
#53B400	0.637221269296741	NA	59	Antigua and Barbuda
#53B400	0.654373927958833	NA	59	Antigua and Barbuda
#53B400	0.671526586620926	NA	59	Antigua and Barbuda
#53B400	0.688679245283018	0.792005085001545	59	Antigua and Barbuda
#53B400	0.705831903945111	NA	59	Antigua and Barbuda
#53B400	0.722984562607203	NA	59	Antigua and Barbuda
#53B400	0.740137221269296	NA	59	Antigua and Barbuda
#53B400	0.757289879931389	NA	59	Antigua and Barbuda
#53B400	0.774442538593481	0.800555840939674	59	Antigua and Barbuda
#53B400	0.791595197255574	NA	59	Antigua and Barbuda
#53B400	0.808747855917666	NA	59	Antigua and Barbuda
#53B400	0.825900514579759	NA	59	Antigua and Barbuda
#53B400	0.843053173241851	NA	59	Antigua and Barbuda
#53B400	0.860205831903944	NA	59	Antigua and Barbuda
#53B400	0.877358490566037	NA	59	Antigua and Barbuda
#53B400	0.894511149228129	NA	59	Antigua and Barbuda
#53B400	0.911663807890222	NA	59	Antigua and Barbuda
#53B400	0.928816466552314	NA	59	Antigua and Barbuda
#53B400	0.945969125214407	NA	59	Antigua and Barbuda
#C49A00	0.0540308747855932	0.597590917622663	61	Albania
#C49A00	0.0711835334476857	0.613469861416569	61	Albania
