size	colour	x	y	clickSelects	tooltip	key	fill
2.80498447189992	#F8766D	0.513311626827681	0.758049807846798	Mongolia	Mongolia population 1397302	Mongolia	#F8766D
2	#F8766D	0.73092114481473	0.135994528519009	Macao SAR, China	Macao SAR, China population 252845	Macao SAR, China	#F8766D
2	#FB61D7	0.390888363876696	0.684879605705973	Mauritania	Mauritania population 1253831	Mauritania	#FB61D7
2	#00C094	0.73726466562003	0.132303450072736	Malta	Malta population 302200	Malta	#00C094
2	#FB61D7	0.620111708595711	0.327170679809801	Mauritius	Mauritius population 864819.2	Mauritius	#FB61D7
2	#A58AFF	0.349804831845965	0.72439585730725	Maldives	Maldives population 125780	Maldives	#A58AFF
3.13841995766062	#FB61D7	0.279416149064074	0.759352541416071	Malawi	Malawi population 4967159	Malawi	#FB61D7
5.77571185341255	#53B400	0.606538048602726	0.644169181666196	Mexico	Mexico population 58155590	Mexico	#53B400
3.60996894379985	#F8766D	0.641588167243513	0.437794472067221	Malaysia	Malaysia population 11741849	Malaysia	#F8766D
3.60996894379985	#FB61D7	0.260932074961019	0.666749896866926	Mozambique	Mozambique population 10109853	Mozambique	#FB61D7
2	#FB61D7	0.470899117307364	0.671200903228608	Namibia	Namibia population 855965	Namibia	#FB61D7
2	#F8766D	0.630642819609111	0.379621214701348	New Caledonia	New Caledonia population 124330	New Caledonia	#F8766D
3.13841995766062	#FB61D7	0.228478345856644	0.770317215624118	Niger	Niger population 4795926	Niger	#FB61D7
5.77571185341255	#FB61D7	0.306337729093278	0.672503636797881	Nigeria	Nigeria population 60285455	Nigeria	#FB61D7
2.80498447189992	#53B400	0.491450194145863	0.685856655882928	Nicaragua	Nicaragua population 2631065	Nicaragua	#53B400
3.8	#C49A00	0.782846275307815	0.159986538419784	Netherlands	Netherlands population 13439322	Netherlands	#C49A00
2.80498447189992	#C49A00	0.787494086202185	0.196245956097879	Norway	Norway population 3960612	Norway	#C49A00
3.8	#A58AFF	0.316794733555214	0.607801202857329	Nepal	Nepal population 12323203	Nepal	#A58AFF
2.80498447189992	#F8766D	0.74427286518692	0.245966953991793	New Zealand	New Zealand population 2961300	New Zealand	#F8766D
2	#00C094	0.462070556809646	0.767928870747118	Oman	Oman population 806989	Oman	#00C094
2.80498447189992	#53B400	0.667007094429191	0.478722018368543	Panama	Panama population 1660811	Panama	#53B400
3.8	#53B400	0.495395322918919	0.599441995787828	Peru	Peru population 14347881	Peru	#53B400
2	#F8766D	0.580080869629361	0.502062661484682	French Polynesia	French Polynesia population 122355	French Polynesia	#F8766D
2.80498447189992	#F8766D	0.375719322842455	0.61301213713442	Papua New Guinea	Papua New Guinea population 2652585	Papua New Guinea	#F8766D
5.11769145362398	#F8766D	0.586157226815795	0.597162212041601	Philippines	Philippines population 39026975	Philippines	#F8766D
5.9436024140372	#A58AFF	0.483442506218206	0.670658097574744	Pakistan	Pakistan population 64299241	Pakistan	#A58AFF
4.78854800926934	#C49A00	0.728615480980211	0.198091495321015	Poland	Poland population 33357200	Poland	#C49A00
2.80498447189992	#53B400	0.757276854817628	0.274084286861932	Puerto Rico	Puerto Rico population 2878785.6	Puerto Rico	#53B400
3.39427400463467	#C49A00	0.679705157014111	0.24151594763011	Portugal	Portugal population 8633100	Portugal	#C49A00
2.80498447189992	#53B400	0.654250506670293	0.533762511670322	Paraguay	Paraguay population 2671997	Paraguay	#53B400
2	#00C094	0.686682193826027	0.680971404998154	Qatar	Qatar population 142126	Qatar	#00C094
4.27683991532123	#C49A00	0.702784597375116	0.218066743383199	Romania	Romania population 20835681	Romania	#C49A00
7.63489130329947	#C49A00	0.691706618015273	0.171494018281694	Russian Federation	Russian Federation population 132668517.068296	Russian Federation	#C49A00
3.13841995766062	#FB61D7	0.321606718963597	0.843813101157261	Rwanda	Rwanda population 4102262	Rwanda	#FB61D7
3.13841995766062	#00C094	0.491061419775876	0.746542327984888	Saudi Arabia	Saudi Arabia population 6654009	Saudi Arabia	#00C094
