fill	colour	x	y
#F8766D	#F8766D	0.0909090909090909	0.0677202597285326
#F8766D	#F8766D	0.136363636363636	0.0710468165806311
#F8766D	#F8766D	0.181818181818182	0.0748012881805842
#F8766D	#F8766D	0.227272727272727	0.0788544268086319
#F8766D	#F8766D	0.272727272727273	0.0831798589435798
#F8766D	#F8766D	0.318181818181818	0.0877309506108658
#F8766D	#F8766D	0.363636363636364	0.0925160854463662
#F8766D	#F8766D	0.409090909090909	0.0973633989146161
#F8766D	#F8766D	0.454545454545455	0.101916935809033
#F8766D	#F8766D	0.5	0.106240621353173
#F8766D	#F8766D	0.545454545454545	0.110437155086522
#F8766D	#F8766D	0.590909090909091	0.114577273936787
#00BFC4	#00BFC4	0.636363636363636	0.118507976549224
#00BFC4	#00BFC4	0.681818181818182	0.122179135767656
#00BFC4	#00BFC4	0.727272727272727	0.125544117617521
#00BFC4	#00BFC4	0.772727272727273	0.128535503693647
#00BFC4	#00BFC4	0.818181818181818	0.131103516158017
#00BFC4	#00BFC4	0.863636363636364	0.133214271148966
#00BFC4	#00BFC4	0.909090909090909	0.134845936281398
#00BFC4	#00BFC4	0.954545454545455	0.13599536769186
#F8766D	#F8766D	0.0454545454545455	0.0496640039598707
#F8766D	#F8766D	0.0909090909090909	0.0501839640432844
#F8766D	#F8766D	0.136363636363636	0.050820421733563
#F8766D	#F8766D	0.181818181818182	0.0515833325983097
#F8766D	#F8766D	0.227272727272727	0.0523679011890703
#F8766D	#F8766D	0.272727272727273	0.0531219044406984
#F8766D	#F8766D	0.318181818181818	0.0539443740519833
#F8766D	#F8766D	0.363636363636364	0.054764049117976
#F8766D	#F8766D	0.409090909090909	0.0557603045146141
#F8766D	#F8766D	0.454545454545455	0.0567675634333399
#F8766D	#F8766D	0.5	0.057732904172684
#F8766D	#F8766D	0.545454545454545	0.0585971173042698
#F8766D	#F8766D	0.590909090909091	0.0593746995318001
#00BFC4	#00BFC4	0.636363636363636	0.060135339828497
#00BFC4	#00BFC4	0.681818181818182	0.0608834046713794
#00BFC4	#00BFC4	0.727272727272727	0.0615832636079728
#00BFC4	#00BFC4	0.772727272727273	0.0622123856168596
#00BFC4	#00BFC4	0.818181818181818	0.0627529554718027
