colour	y	x	showSelected	clickSelects	PANEL	fill
#F8766D	0.423636363636364	0.568181818181818	2011_05_11	263	1	#F8766D
#F8766D	0.47974025974026	0.557727272727273	2011_05_11	264	1	#F8766D
#F8766D	0.296623376623377	0.313030303030303	2011_05_11	265	1	#F8766D
#F8766D	0.351428571428571	0.410909090909091	2011_05_11	266	1	#F8766D
#F8766D	0.676233766233766	0.586363636363636	2011_05_15	267	1	#F8766D
#F8766D	0.421948051948052	0.533484848484848	2011_05_15	268	1	#F8766D
#F8766D	0.377922077922078	0.50030303030303	2011_05_15	269	1	#F8766D
#F8766D	0.332597402597403	0.655	2011_05_15	270	1	#F8766D
#F8766D	0.363766233766234	0.208636363636364	2011_05_15	271	1	#F8766D
#F8766D	0.315194805194805	0.767727272727273	2011_05_15	272	1	#F8766D
#F8766D	0.195584415584416	0.446969696969697	2011_05_15	273	1	#F8766D
#F8766D	0.308701298701299	0.397424242424242	2011_05_15	274	1	#F8766D
#F8766D	0.355064935064935	0.380909090909091	2011_05_15	275	1	#F8766D
#F8766D	0.345454545454546	0.347575757575758	2011_05_15	276	1	#F8766D
#F8766D	0.372337662337662	0.406969696969697	2011_05_15	277	1	#F8766D
#F8766D	0.462207792207792	0.596818181818182	2011_05_15	278	1	#F8766D
#F8766D	0.51948051948052	0.449242424242424	2011_05_17	285	1	#F8766D
#F8766D	0.544025974025974	0.617424242424242	2011_05_17	286	1	#F8766D
#F8766D	0.434805194805195	0.404393939393939	2011_05_17	287	1	#F8766D
#F8766D	0.442467532467533	0.443787878787879	2011_05_17	288	1	#F8766D
#F8766D	0.352727272727273	0.656212121212121	2011_05_17	289	1	#F8766D
#F8766D	0.451298701298701	0.653636363636364	2011_05_17	290	1	#F8766D
#F8766D	0.514935064935065	0.630757575757576	2011_05_18	292	1	#F8766D
#F8766D	0.481818181818182	0.59	2011_05_18	293	1	#F8766D
#F8766D	0.393116883116883	0.669393939393939	2011_05_18	294	1	#F8766D
#F8766D	0.427922077922078	0.601060606060606	2011_05_18	295	1	#F8766D
#F8766D	0.395194805194805	0.541515151515152	2011_05_18	296	1	#F8766D
#F8766D	0.299090909090909	0.418333333333333	2011_05_28	300	1	#F8766D
#F8766D	0.355454545454546	0.728030303030303	2011_05_28	301	1	#F8766D
#F8766D	0.315974025974026	0.629242424242424	2011_05_28	302	1	#F8766D
#F8766D	0.247922077922078	0.702424242424243	2011_05_28	310	1	#F8766D
#F8766D	0.41012987012987	0.64030303030303	2011_05_28	311	1	#F8766D
#F8766D	0.273376623376623	0.635909090909091	2011_05_25	312	1	#F8766D
#F8766D	0.41961038961039	0.552878787878788	2011_05_25	313	1	#F8766D
#F8766D	0.296623376623377	0.637272727272727	2011_05_28	314	1	#F8766D
#F8766D	0.322987012987013	0.73530303030303	2011_05_28	315	1	#F8766D
#F8766D	0.311558441558442	0.425909090909091	2011_05_28	316	1	#F8766D
#F8766D	0.423246753246753	0.566969696969697	2011_05_28	317	1	#F8766D
#F8766D	0.422467532467533	0.653484848484848	2011_05_28	318	1	#F8766D
#F8766D	0.363246753246753	0.586969696969697	2011_05_28	319	1	#F8766D
#F8766D	0.353376623376623	0.53469696969697	2011_05_28	320	1	#F8766D
#F8766D	0.362727272727273	0.419242424242424	2011_05_28	321	1	#F8766D
#F8766D	0.394935064935065	0.56469696969697	2011_06_04	322	1	#F8766D
#F8766D	0.438571428571429	0.424242424242424	2011_06_05	323	1	#F8766D
#F8766D	0.43961038961039	0.558787878787879	2011_06_05	324	1	#F8766D
#F8766D	0.312337662337662	0.635606060606061	2011_06_05	329	1	#F8766D
#F8766D	0.342337662337662	0.317575757575758	2011_06_05	330	1	#F8766D
#F8766D	0.430519480519481	0.547878787878788	2011_06_05	331	1	#F8766D
#F8766D	0.33974025974026	0.640151515151515	2011_06_05	332	1	#F8766D
#F8766D	0.35974025974026	0.556969696969697	2011_06_05	333	1	#F8766D
#F8766D	0.395714285714286	0.629242424242424	2011_06_05	334	1	#F8766D
#F8766D	0.675454545454545	0.456060606060606	2011_06_05	335	1	#F8766D
#F8766D	0.388961038961039	0.497575757575758	2011_06_05	336	1	#F8766D
#F8766D	0.565194805194805	0.466818181818182	2011_06_05	337	1	#F8766D
#F8766D	0.416363636363636	0.533030303030303	2011_06_01	338	1	#F8766D
#F8766D	0.423766233766234	0.710757575757576	2011_06_01	339	1	#F8766D
#F8766D	0.667272727272727	0.635757575757576	2011_06_01	340	1	#F8766D
#F8766D	0.603376623376623	0.602424242424242	2011_06_01	341	1	#F8766D
#F8766D	0.437142857142857	0.570757575757576	2011_06_01	342	1	#F8766D
#F8766D	0.242207792207792	0.678787878787879	2011_06_10	356	1	#F8766D
#F8766D	0.363246753246753	0.688787878787879	2011_06_10	357	1	#F8766D
#F8766D	0.272857142857143	0.685757575757576	2011_06_20	367	1	#F8766D
#F8766D	0.48987012987013	0.540454545454545	2011_06_20	368	1	#F8766D
#F8766D	0.509220779220779	0.606363636363636	2011_06_20	369	1	#F8766D
#F8766D	0.624285714285714	0.598636363636364	2011_06_20	370	1	#F8766D
#F8766D	0.646883116883117	0.610454545454545	2011_06_20	371	1	#F8766D
#F8766D	0.382857142857143	0.565151515151515	2011_06_20	372	1	#F8766D
#F8766D	0.482727272727273	0.506212121212121	2011_06_20	373	1	#F8766D
#F8766D	0.365844155844156	0.599090909090909	2011_06_20	374	1	#F8766D
#F8766D	0.463506493506494	0.593787878787879	2011_06_16	384	1	#F8766D
#F8766D	0.426363636363636	0.656818181818182	2011_06_16	385	1	#F8766D
#F8766D	0.42961038961039	0.622272727272727	2011_06_16	390	1	#F8766D
#F8766D	0.303506493506494	0.718333333333333	2011_06_16	391	1	#F8766D
#F8766D	0.398051948051948	0.695606060606061	2011_06_16	392	1	#F8766D
#F8766D	0.609350649350649	0.556515151515152	2011_06_16	398	1	#F8766D
#F8766D	0.434415584415584	0.654848484848485	2011_06_16	399	1	#F8766D
#F8766D	0.254415584415584	0.628181818181818	2011_06_26	409	1	#F8766D
#F8766D	0.451818181818182	0.710606060606061	2011_06_26	410	1	#F8766D
#F8766D	0.443896103896104	0.225	2011_06_26	411	1	#F8766D
#F8766D	0.314675324675325	0.362575757575758	2011_06_26	412	1	#F8766D
#F8766D	0.478441558441559	0.582272727272727	2011_06_22	418	1	#F8766D
#F8766D	0.398181818181818	0.846363636363636	2011_06_22	419	1	#F8766D
#F8766D	0.393636363636364	0.750757575757576	2011_06_22	420	1	#F8766D
#F8766D	0.572337662337662	0.692727272727273	2011_06_22	421	1	#F8766D
#F8766D	0.434415584415584	0.660454545454546	2011_06_29	442	1	#F8766D
#F8766D	0.443766233766234	0.626818181818182	2011_06_29	443	1	#F8766D
#F8766D	0.404155844155844	0.562272727272727	2011_06_29	444	1	#F8766D
#F8766D	0.360649350649351	0.703030303030303	2011_07_03	460	1	#F8766D
#F8766D	0.367922077922078	0.683030303030303	2011_07_03	461	1	#F8766D
#F8766D	0.378311688311688	0.555454545454545	2011_07_03	466	1	#F8766D
#F8766D	0.413506493506494	0.461818181818182	2011_07_20	493	1	#F8766D
#F8766D	0.33012987012987	0.35969696969697	2011_07_20	494	1	#F8766D
#F8766D	0.475584415584416	0.361363636363636	2011_07_20	495	1	#F8766D
#F8766D	0.40012987012987	0.383484848484848	2011_07_16	497	1	#F8766D
#F8766D	0.303766233766234	0.404090909090909	2011_07_16	498	1	#F8766D
#F8766D	0.674805194805195	0.547878787878788	2011_07_16	499	1	#F8766D
#F8766D	0.467532467532468	0.741363636363636	2011_07_16	500	1	#F8766D
#F8766D	0.302077922077922	0.238030303030303	2011_07_16	501	1	#F8766D
#F8766D	0.426493506493507	0.330454545454546	2011_07_16	502	1	#F8766D
#F8766D	0.447272727272727	0.562121212121212	2011_07_16	503	1	#F8766D
#F8766D	0.309220779220779	0.293484848484848	2011_07_16	512	1	#F8766D
#F8766D	0.494935064935065	0.665606060606061	2011_07_16	513	1	#F8766D
#F8766D	0.410519480519481	0.586060606060606	2011_07_20	525	1	#F8766D
