x	y	label	showSelected	key
0.340374678163797	0.738617365438478	Malawi	Malawi	Malawi
0.69270762651043	0.390461819050307	Mexico	Mexico	Mexico
0.695693550484025	0.352682545541394	Malaysia	Malaysia	Malaysia
0.292856797298022	0.650248604989469	Mozambique	Mozambique	Mozambique
0.554243145419514	0.60704127494192	Namibia	Namibia	Namibia
0.696717994384473	0.284035723853052	New Caledonia	New Caledonia	New Caledonia
0.250774917007313	0.798434548494257	Niger	Niger	Niger
0.342619916656353	0.682599821959745	Nigeria	Nigeria	Nigeria
0.564889026579285	0.560034305317324	Nicaragua	Nicaragua	Nicaragua
0.815399953248267	0.115150791410643	Netherlands	Netherlands	Netherlands
0.815263141153257	0.133497622511236	Norway	Norway	Norway
0.413908899030128	0.56502811733287	Nepal	Nepal	Nepal
0.786380587762243	0.162809127819875	New Zealand	New Zealand	New Zealand
0.640424884402331	0.854234969711444	Oman	Oman	Oman
0.735902245173887	0.322936795709664	Panama	Panama	Panama
0.599829695544064	0.439097205636494	Peru	Peru	Peru
0.673129055647293	0.359847580172395	French Polynesia	French Polynesia	French Polynesia
0.479890332184706	0.529962872093276	Papua New Guinea	Papua New Guinea	Papua New Guinea
0.625000080757139	0.47383676748377	Philippines	Philippines	Philippines
0.548969419190473	0.651985583081833	Pakistan	Pakistan	Pakistan
0.730743669124813	0.210793147621426	Poland	Poland	Poland
0.784125088362562	0.212421564583017	Puerto Rico	Puerto Rico	Puerto Rico
0.757460031011503	0.161723516512148	Portugal	Portugal	Portugal
0.673800955047233	0.506296545584819	Paraguay	Paraguay	Paraguay
0.757634086399043	0.512158846646547	Qatar	Qatar	Qatar
0.712961897109477	0.198634300974879	Romania	Romania	Romania
0.674692513866382	0.176922074820331	Russian Federation	Russian Federation	Russian Federation
0.406735004814835	0.845224395857307	Rwanda	Rwanda	Rwanda
0.646343147612308	0.692153201467746	Saudi Arabia	Saudi Arabia	Saudi Arabia
0.528102914466257	0.642540764704605	Solomon Islands	Solomon Islands	Solomon Islands
0.416890642634152	0.633747313112013	Sudan	Sudan	Sudan
0.824478955886575	0.133497622511236	Sweden	Sweden	Sweden
0.761627479438947	0.128612371626463	Singapore	Singapore	Singapore
0.732339810233265	0.142182512973055	Slovenia	Slovenia	Slovenia
0.72997980159434	0.198634300974879	Slovak Republic	Slovak Republic	Slovak Republic
0.304524208767201	0.552435026163232	Sierra Leone	Sierra Leone	Sierra Leone
0.412715213501164	0.734166359076796	Senegal	Senegal	Senegal
0.32690362724207	0.680754282736609	Somalia	Somalia	Somalia
