fill	y	x	clickSelects	PANEL	group	xmin	xmax	ymin	ymax
#C49A00	0.0104895104895105	0.873738706963779	Norway	2	1	0.0454545454545455	0.873738706963779	0.00262237762237762	0.0183566433566434
#C49A00	0.517482517482518	0.815171063584289	Poland	2	36	0.0454545454545455	0.815171063584289	0.509615384615385	0.52534965034965
#C49A00	0.622377622377622	0.839892468781956	Portugal	2	57	0.0454545454545455	0.839892468781956	0.614510489510489	0.630244755244755
#C49A00	0.587412587412587	0.805985025829461	Romania	2	43	0.0454545454545455	0.805985025829461	0.579545454545454	0.59527972027972
#C49A00	0.972027972027972	NA	Serbia	2	208	NA	NA	0.964160839160839	0.979895104895105
#C49A00	0.534965034965035	0.785800756892507	Russian Federation	2	39	0.0454545454545455	0.785800756892507	0.527097902097902	0.542832167832168
#C49A00	0.0629370629370629	0.88193216300292	Sweden	2	4	0.0454545454545455	0.88193216300292	0.0550699300699301	0.0708041958041958
#C49A00	0.377622377622378	0.823926006867423	Slovenia	2	26	0.0454545454545455	0.823926006867423	0.369755244755245	0.38548951048951
#C49A00	0.167832167832168	0.817198804247435	Slovak Republic	2	13	0.0454545454545455	0.817198804247435	0.159965034965035	0.175699300699301
#C49A00	0.989510489510489	NA	San Marino	2	210	NA	NA	0.981643356643357	0.997377622377622
#C49A00	0.77972027972028	0.735864582824012	Tajikistan	2	89	0.0454545454545455	0.735864582824012	0.771853146853147	0.787587412587413
#C49A00	0.814685314685315	0.724588535204572	Turkmenistan	2	95	0.0454545454545455	0.724588535204572	0.806818181818182	0.822552447552448
#C49A00	0.832167832167832	0.70140363585848	Turkey	2	117	0.0454545454545455	0.70140363585848	0.824300699300699	0.840034965034965
#C49A00	0.185314685314685	0.806709637092682	Ukraine	2	14	0.0454545454545455	0.806709637092682	0.177447552447552	0.193181818181818
#C49A00	0.744755244755245	0.774012718061007	Uzbekistan	2	76	0.0454545454545455	0.774012718061007	0.736888111888112	0.752622377622378
#53B400	0.305825242718447	NA	Antigua and Barbuda	3	59	NA	NA	0.294902912621359	0.316747572815534
#53B400	0.087378640776699	0.854500471316112	Argentina	3	46	0.0454545454545455	0.854500471316112	0.0764563106796116	0.0983009708737864
#53B400	0.0631067961165049	0.883286271610981	Aruba	3	45	0.0454545454545455	0.883286271610981	0.0521844660194175	0.0740291262135922
#53B400	0.111650485436893	0.886141648557779	Barbados	3	48	0.0454545454545455	0.886141648557779	0.100728155339806	0.122572815533981
#53B400	0.79126213592233	0.683756533799386	Bolivia	3	145	0.0454545454545455	0.683756533799386	0.780339805825243	0.802184466019418
#53B400	0.548543689320388	0.784043052732863	Brazil	3	94	0.0454545454545455	0.784043052732863	0.537621359223301	0.559466019417476
#53B400	0.233009708737864	0.836584057262524	Bahamas, The	3	54	0.0454545454545455	0.836584057262524	0.222087378640777	0.243932038834951
#53B400	0.354368932038835	0.865472733875822	Belize	3	68	0.0454545454545455	0.865472733875822	0.343446601941748	0.365291262135922
#53B400	0.5	0.869612667026902	Chile	3	86	0.0454545454545455	0.869612667026902	0.489077669902913	0.510922330097087
#53B400	0.524271844660194	0.819989939366991	Colombia	3	87	0.0454545454545455	0.819989939366991	0.513349514563107	0.535194174757281
#53B400	0.330097087378641	0.900777202630201	Costa Rica	3	63	0.0454545454545455	0.900777202630201	0.319174757281553	0.341019417475728
