fill	x	y	tooltip	clickSelects	PANEL	group	xmin	xmax	ymin	ymax	colour	size
#FEFEFE	0.095959595959596	0.443181818181818	( 0 ,  Inf )	px=-2; pz=2.2	7	433	0.0454545454545455	0.146464646464646	0.386363636363636	0.5	#FEFEFE	0
#FEFEFE	0.095959595959596	0.556818181818182	( 0 ,  Inf )	px=-2; pz=2.7	7	457	0.0454545454545455	0.146464646464646	0.5	0.613636363636364	#FEFEFE	0
#FFFFFF	0.095959595959596	0.670454545454545	( 0 ,  Inf )	px=-2; pz=3.2	7	481	0.0454545454545455	0.146464646464646	0.613636363636364	0.727272727272727	#FFFFFF	0
#FFFFFF	0.095959595959596	0.784090909090909	( 0 ,  Inf )	px=-2; pz=3.7	7	505	0.0454545454545455	0.146464646464646	0.727272727272727	0.840909090909091	#FFFFFF	0
#FFFFFF	0.095959595959596	0.897727272727273	( 0 ,  Inf )	px=-2; pz=4.2	7	529	0.0454545454545455	0.146464646464646	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.196969696969697	0.102272727272727	( 0 ,  Inf )	px=-1.5; pz=0.7	7	232	0.146464646464646	0.247474747474747	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FFFFFF	0.196969696969697	0.215909090909091	( 0 ,  Inf )	px=-1.5; pz=1.2	7	256	0.146464646464646	0.247474747474747	0.159090909090909	0.272727272727273	#FFFFFF	0
#F6F6FA	0.196969696969697	0.329545454545455	( 0.02 ,  0.51 )	px=-1.5; pz=1.7	7	1111	0.146464646464646	0.247474747474747	0.272727272727273	0.386363636363636	#F6F6FA	0
#E2E2F0	0.196969696969697	0.443181818181818	( 0.05 ,  0.24 )	px=-1.5; pz=2.2	7	1138	0.146464646464646	0.247474747474747	0.386363636363636	0.5	#E2E2F0	0
#ECECF5	0.196969696969697	0.556818181818182	( 0.04 ,  0.26 )	px=-1.5; pz=2.7	7	1126	0.146464646464646	0.247474747474747	0.5	0.613636363636364	#ECECF5	0
#FAFAFC	0.196969696969697	0.670454545454545	( 0 ,  0.25 )	px=-1.5; pz=3.2	7	7	0.146464646464646	0.247474747474747	0.613636363636364	0.727272727272727	#FAFAFC	0
#FEFEFE	0.196969696969697	0.784090909090909	( 0 ,  0.05 )	px=-1.5; pz=3.7	7	2	0.146464646464646	0.247474747474747	0.727272727272727	0.840909090909091	#FEFEFE	0
#FEFEFE	0.196969696969697	0.897727272727273	( 0 ,  Inf )	px=-1.5; pz=4.2	7	337	0.146464646464646	0.247474747474747	0.840909090909091	0.954545454545454	#FEFEFE	0
#FFFFFF	0.297979797979798	0.102272727272727	( 0 ,  Inf )	px=-1; pz=0.7	7	160	0.247474747474747	0.348484848484849	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FDFCFC	0.297979797979798	0.215909090909091	( 0.47 ,  22.56 )	px=-1; pz=1.2	7	1294	0.247474747474747	0.348484848484849	0.159090909090909	0.272727272727273	#FDFCFC	0
#C9A1A1	0.297979797979798	0.329545454545455	( 1.43 ,  2.04 )	px=-1; pz=1.7	7	1640	0.247474747474747	0.348484848484849	0.272727272727273	0.386363636363636	#C9A1A1	0
#E8E8F3	0.297979797979798	0.443181818181818	( 0.88 ,  0.97 )	px=-1; pz=2.2	7	1407	0.247474747474747	0.348484848484849	0.386363636363636	0.5	#E8E8F3	0
#C8C8E2	0.297979797979798	0.556818181818182	( 0.77 ,  0.87 )	px=-1; pz=2.7	7	1369	0.247474747474747	0.348484848484849	0.5	0.613636363636364	#C8C8E2	0
#D3D3E8	0.297979797979798	0.670454545454545	( 0.58 ,  0.88 )	px=-1; pz=3.2	7	1317	0.247474747474747	0.348484848484849	0.613636363636364	0.727272727272727	#D3D3E8	0
