colour	linetype	x	y	group	PANEL
#F8766D	22	0.904519124898266	0.0799769850402762	3	1
#00BFC4	solid	0.0571832064723125	0.0569620253164557	2	1
#00BFC4	solid	0.0667576236296679	0.0914844649021864	2	1
#00BFC4	solid	0.0715448322083456	0.0684695051783659	2	1
#00BFC4	solid	0.081119249365701	0.0684695051783659	2	1
#00BFC4	solid	0.114629709416445	0.0569620253164557	2	1
#00BFC4	solid	0.1242041265738	0.0569620253164557	2	1
#00BFC4	solid	0.138565752309833	0.114499424626007	2	1
#00BFC4	solid	0.162501795203222	0.114499424626007	2	1
#00BFC4	solid	0.191225046675288	0.0569620253164557	2	1
#00BFC4	solid	0.196012255253966	0.0914844649021864	2	1
#00BFC4	solid	0.200799463832644	0.0569620253164557	2	1
#00BFC4	solid	0.219948298147354	0.0799769850402762	2	1
#00BFC4	solid	0.239097132462065	0.0799769850402762	2	1
#00BFC4	solid	0.243884341040743	0.0569620253164557	2	1
#00BFC4	solid	0.263033175355454	0.0684695051783659	2	1
#00BFC4	solid	0.277394801091487	0.0569620253164557	2	1
#00BFC4	solid	0.310905261142231	0.0799769850402762	2	1
#00BFC4	solid	0.363564555507685	0.0569620253164557	2	1
#00BFC4	solid	0.387500598401074	0.0569620253164557	2	1
#00BFC4	solid	0.41622384987314	0.0914844649021864	2	1
#00BFC4	solid	0.425798267030496	0.0914844649021864	2	1
#00BFC4	solid	0.444947101345206	0.0684695051783659	2	1
#00BFC4	solid	0.464095935659917	0.0569620253164557	2	1
#00BFC4	solid	0.47845756139595	0.0569620253164557	2	1
#00BFC4	solid	0.488031978553306	0.0914844649021864	2	1
#00BFC4	solid	0.497606395710661	0.0684695051783659	2	1
#00BFC4	solid	0.526329647182727	0.0914844649021864	2	1
#00BFC4	solid	0.559840107233471	0.114499424626007	2	1
#00BFC4	solid	0.578988941548182	0.0569620253164557	2	1
#00BFC4	solid	0.631648235913637	0.0799769850402762	2	1
#00BFC4	solid	0.636435444492314	0.0799769850402762	2	1
#00BFC4	solid	0.655584278807025	0.0569620253164557	2	1
#00BFC4	solid	0.665158695964381	0.0799769850402762	2	1
#00BFC4	solid	0.674733113121736	0.0684695051783659	2	1
#00BFC4	solid	0.703456364593802	0.0569620253164557	2	1
#00BFC4	solid	0.70824357317248	0.0684695051783659	2	1
#00BFC4	solid	0.746541241801902	0.0569620253164557	2	1
#00BFC4	solid	0.77047728469529	0.0684695051783659	2	1
#00BFC4	solid	0.775264493273968	0.0684695051783659	2	1
#00BFC4	solid	0.784838910431323	0.0914844649021864	2	1
#00BFC4	solid	0.789626119010001	0.0799769850402762	2	1
#00BFC4	solid	0.803987744746034	0.160529344073648	2	1
#00BFC4	solid	0.808774953324712	0.0684695051783659	2	1
#00BFC4	solid	0.8327109962181	0.0684695051783659	2	1
#00BFC4	solid	0.842285413375456	0.0569620253164557	2	1
#00BFC4	solid	0.871008664847522	0.0569620253164557	2	1
#00BFC4	solid	0.880583082004877	0.0799769850402762	2	1
#00BFC4	solid	0.899731916319588	0.0569620253164557	2	1
#00BFC4	solid	0.909306333476944	0.0684695051783659	2	1
#00BFC4	solid	0.952391210685043	0.0569620253164557	2	1
#00BFC4	22	0.0619704150509902	0.540276179516686	4	1
#00BFC4	22	0.0859064579443787	0.321634062140391	4	1
#00BFC4	22	0.114629709416445	0.586306098964327	4	1
#00BFC4	22	0.511968021446694	0.494246260069045	4	1
#00BFC4	22	0.564627315812149	0.574798619102417	4	1
#00BFC4	22	0.588563358705538	0.73590333716916	4	1
#00BFC4	22	0.612499401598926	0.75891829689298	4	1
#00BFC4	22	0.641222653070992	0.551783659378596	4	1
#00BFC4	22	0.665158695964381	0.0914844649021864	4	1
